agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
100,random-32-32-20.map,PIBT,1,3446,54,3,0,random-32-32-20-random-4.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,0,random-32-32-20-random-4.scen
100,random-32-32-20.map,PIBT,0,3316,100000,4001,1,random-32-32-20-random-4.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,1,random-32-32-20-random-4.scen
100,random-32-32-20.map,PIBT,1,3259,58,29,10,random-32-32-20-random-4.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,10,random-32-32-20-random-4.scen
100,random-32-32-20.map,PIBT,0,3117,100000,4462,100,random-32-32-20-random-4.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,100,random-32-32-20-random-4.scen
100,random-32-32-20.map,PIBT,0,3117,100000,4492,1000,random-32-32-20-random-4.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,1000,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBT,1,5501,71,6,0,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,0,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBT,0,5384,100000,6405,1,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,5,1,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBT,0,205151,100000,10066,10,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,10,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBT,0,5584,100000,7912,100,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,100,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBT,0,5100,100000,20620,1000,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,1000,random-32-32-20-random-4.scen
180,random-32-32-20.map,PIBT,0,407441,100000,7346,0,random-32-32-20-random-4.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4567,0,random-32-32-20-random-4.scen
180,random-32-32-20.map,PIBT,0,7087,100000,8412,1,random-32-32-20-random-4.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,5075,1,random-32-32-20-random-4.scen
180,random-32-32-20.map,PIBT,0,7105,100000,9578,10,random-32-32-20-random-4.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4700,10,random-32-32-20-random-4.scen
180,random-32-32-20.map,PIBT,0,7238,100000,10517,100,random-32-32-20-random-4.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4712,100,random-32-32-20-random-4.scen
180,random-32-32-20.map,PIBT,0,6873,100000,34045,1000,random-32-32-20-random-4.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4645,1000,random-32-32-20-random-4.scen
220,random-32-32-20.map,PIBT,0,210083,100000,9461,0,random-32-32-20-random-4.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5518,0,random-32-32-20-random-4.scen
220,random-32-32-20.map,PIBT,0,210152,100000,13830,1,random-32-32-20-random-4.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5353,1,random-32-32-20-random-4.scen
220,random-32-32-20.map,PIBT,0,609331,100000,19101,10,random-32-32-20-random-4.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5428,10,random-32-32-20-random-4.scen
220,random-32-32-20.map,PIBT,0,210029,100000,15770,100,random-32-32-20-random-4.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5537,100,random-32-32-20-random-4.scen
220,random-32-32-20.map,PIBT,0,209900,100000,42086,1000,random-32-32-20-random-4.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5412,1000,random-32-32-20-random-4.scen
260,random-32-32-20.map,PIBT,0,1013296,100000,12165,0,random-32-32-20-random-4.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,100000,6466,0,random-32-32-20-random-4.scen
